當,to face,dāng
賓,guest,bīn
盧,black,lú
二,two,èr
亻,person,rén
士,scholar,shì
凡,ordinary,fán
中,in,zhōng
比,to compare,bǐ
壬,ninth,rén
巿,to revolve,fú
矛,spear,máo
瓜,melon,guā
冬,winter,dōng
缶,jar,fǒu
糸,silk,mì
㓞,engrave,qià
我,I,wǒ
㐬,pennant,liú
求,to beg,qiú
爭,to argue,zhēng
東,east,dōng
叔,uncle,shū
曷,why/how/when,hé
扁,flat,biǎn
匽,to hide,yǎn
害,to harm,hài
臬,rules,niè
貫,to pierce,guàn
敬,to respect,jìng
農,peasant,nóng
監,to supervise,jiān
歷,history,lì
了,to finish,le
入,to enter,rù
山,mountain,shān
㐄,to walk,kuà
予,to give,yǔ
爪,claw,zhǎo
午,afternoon,wǔ
化,to transform into,huà
禾,grain,hé
出,to emerge,chū
戉,halberd,yuè
各,each,gè
艮,mountain,gěn
廷,palace courtyard,tíng
灰,ash,huī
見,to see,jiàn
夾,to sandwich,jiā
希,to hope for,xī
非,wrong,fēi
炎,flame,yán
庚,age,gēng
复,to restore,fù
查,to examine,chá
思,to long for,sī
莫,nothing,mò
豈,surely not?,qǐ
章,rules,zhāng
奞,stride,xùn
巽,obedient,xùn
雍,harmonious,yōng
齊,even,qí
賴,to rely on,lài
乃,is,nǎi
阝,mound(left)/city(right),fù
乞,to beg,qǐ
久,long time,jiǔ
水,water,shuǐ
牛,cow,niú
屯,village,tún
內,inside,nèi
田,field,tián
加,plus,jiā
布,cloth/to declare,bù
同,same,tóng
至,to arrive,zhì
旨,decree/purpose,zhǐ
后,rear/queen,hòu
走,to walk,zǒu
良,good,liáng
赤,red,chì
青,green,qīng
宗,school,zōng
若,to seem like,ruò
頁,page,yè
侯,nobleman,hóu
韭,leek,jiǔ
髟,long hair,biāo
袁,long robe,yuán
敝,tattered,bì
虛,hollow,xū
與,with,yǔ
寧,how could?,níng
襄,to help,xiāng
人,people,rén
廴,stride,yǐn
也,also,yě
氵,water,shui
木,wood,mù
勿,do not,wù
从,from,cóng
尤,especially,yóu
由,cause/reason,yóu
平,level,píng
犮,to run,bá
吉,lucky,jí
舌,tongue,shé
兆,million,zhào
曲,song,qū
豕,hog,shǐ
呂,pitch-pipe,lǚ
孚,to trust,fú
虍,tiger,hū
彔,to carve,lù
奉,to offer tribute,fèng
帝,emperor,dì
耑,start/end,duān
保,to protect,bǎo
敖,to ramble,áo
能,to be able to,néng
祭,festival,jì
象,elephant,xiàng
敦,kind-hearted,dūn
豦,wild boar,jù
壽,old age,shòu
羲,breath,xī
九,nine,jiǔ
冖,cover,mì
广,house on cliff,guǎng
扌,hand,shou
手,hand,shǒu
元,originally,yuán
介,to lie between,jiè
尹,to administer,yǐn
甲,armor,jiǎ
世,era,shì
术,technique,shù
合,to close,hé
此,this,cǐ
朵,earlobe/flower,duo
朿,stab,cì
兌,to exchange,duì
豸,badger,zhì
巫,witch,wū
尚,to esteem,shàng
隶,slave,lì
育,education,yù
革,leather,gé
叟,old man,sǒu
彥,accomplished man,yàn
舀,to ladle out,yǎo
畜,livestock,chù
斬,to cut,zhǎn
㥁,virtue,dé
解,solution,jiě
臧,good,zāng
闌,balustrade,lán
又,again,yòu
刂,knife,dāo
大,big,dà
忄,heart,xin
心,heart,xīn
廿,twenty,niàn
灬,fire,biāo
井,a well,jǐng
申,to extend,shēn
𡗗,folded hands,pěng
必,certainly,bì
虫,insect,chóng
耒,plow,lěi
式,moral standard,shì
免,to excuse,miǎn
角,horn,jiǎo
邑,city,yì
長,long,zhǎng
亞,asia,yà
厓,cliff,yá
食,food,shí
皆,all,jiē
冒,to cover,mào
旁,beside,páng
隺,high-flying bird,hú
崔,lofty,cuī
朝,morning,cháo
斯,this,sī
蒦,calculate,huò
翟,long-tailed pheasant,dí
雚,stork,guàn
刀,knife,dāo
勹,to wrap,bāo
巾,towel,jīn
囗,enclosure,wéi
云,cloud/to say,yún
止,to stop/only,zhǐ
王,king,wáng
央,center,yāng
罒,net,wǎng
四,four,sì
回,to go back/circle,huí
而,and,ér
先,first,xiān
甫,just now,fu
孝,filial duty,xiào
采,/v/ to pick,cǎi
武,military,wǔ
林,forest,lín
骨,bone,gǔ
爰,therefore,yuán
既,already,jì
离,/n/ rare beast; /v/ to depart,lí
蚩,stupid,chī
敢,to dare,gǎn
堯,"Yáo, one of five legendary emperors",yáo
鼎,tripod,dǐng
爾,you,ěr
韱,wild leeks,xiān
厂,cliff,chǎng
卩,seal,jié
亡,to die,wáng
辶,to walk,chuò
今,now,jīn
戶,door,hù
攵,to tap/rap,pū
矢,arrow,shǐ
失,to lose,shī
行,to travel,xíng
西,west,xi
糹,silk,sī
囟,fontanel (gap between the bones of an infant's skull),xìn
甬,path screened by walls on both sides,yǒng
釆,to distinguish,biàn
男,man,nán
咅,to spit out,pǒu
郎,official,láng
宜,should,yi
風,wind,fēng
㒸,to obey,suì
星,a star,xīng
盍,why not?,hé
將,will/going to,jiāng
曾,previously,céng
登,to ascend,dēng
微,small,wēi
厲,whetstone/grind,lì
爵,nobility,jué
力,force,lì
㔾,seal,xiān
寸,inch/thumb,cùn
宀,roof,mián
月,moon/month,yuè
气,gas,qì
亢,high,kàng
半,half,bàn
卯,lush,mǎo
丙,third,bǐng
多,many,duō
臣,minister,chén
旬,ten days,xún
曳,to drag,yè
豆,beans,dòu
妥,suitable,tuǒ
君,gentleman,jūn
垂,to hang down,chuí
臽,pitfall,xiàn
屈,bent,qū
鬼,ghost,guǐ
彖,hedgehog,tuàn
前,front,qián
桑,mulberry,sāng
巢,nest,cháo
黑,black,hēi
菐,thicket,pú
畺,territory,jiāng
㥯,cautious,yǐn
龠,flute,yuè
十,ten,shí
凵,receptacle,qiǎn
尸,corpse,shī
犭,dog,quǎn
火,fire,huǒ
少,little,shǎo
礻,to show,shì
丹,cinnibar,dān
示,to show,shì
疋,roll of cloth,pǐ
丕,great,pī
圭,sceptre/sundial,guī
自,oneself/naturally,zì
朱,vermillion,zhū
丞,deputy,chéng
辛,bitter,xīn
折,to break off,zhé
肙,small worm,yuàn
京,capital city / big,jīng
知,to know,zhī
官,official,guān
韋,soft leather,wéi
亲,parent/relative,qīn
奐,excellent,huàn
冓,inner room,gòu
華,magnificant,huá
異,different,yì
黃,yellow,huáng
景,bright,jǐng
薦,to recommend,jiàn
㬎,visible,xiǎn
瞿,startled,jù
子,child,zi
工,to work,gōng
夂,to walk slowly,zhǐ
日,sun/day,rì
巴,to long for,ba
片,slice,piàn
且,moreover,qiě
穴,cave,xué
左,left,zuǒ
司,to manage,sī
耳,ear,ěr
覀,west,xī
亦,also,yì
如,such as,rú
里,village,lǐ
坐,sit,zuò
秀,handsome,xiù
者,the person who,zhě
苗,sprout,miáo
叕,to join together,zhuó
音,sound,yīn
度,to measure,dù
某,a particular (person or thing),mǒu
鬲,cauldron,gé
責,responsibility/to demand,zé
粦,phosphorus ,lín
矞,propitious,yù
意,meaning,yì
豪,heroic,háo
聶,to whisper,niè
匕,ladle,bǐ
八,eight,bā
弓,bow,gōng
刃,blade,rèn
犬,dog,quǎn
支,branch,zhī
乍,for the first time,zhà
皿,dish,mǐn
右,right,yòu
尼,buddhist nun,ní
羽,feather,yǔ
老,old,lǎo
劦,unending exhertion,xié
辰,early morning,chén
矣,particle expressing completion,yǐ
兩,two,liǎng
或,or,huò
夌,to dawdle,líng
重,heavy,zhòng
皇,emperor,huáng
宣,to announce,xuān
留,"to leave (a message, etc.)",liú
鬥,to fight,dòu
累,tired,lèi
戠,to gather,zhī
覃,deep,qín
廉,honest,lián
需,to need,xū
䜌,chaos,luán
儿,legs,er
弋,to shoot with a bow,yì
彐,snout,jì
分,to separate,fēn
牙,tooth,yá
氏,clan,shì
主,the lord,zhǔ
弗,not,fú
丘,grave,qiū
市,city,shì
衣,clothes,yī
因,because,yīn
有,to have,yǒu
考,to check,kǎo
谷,Valley,gǔ
隹,short-tailed bird,zhuī
取,to take,qǔ
豖,a shackled pig,chù
定,to be steady,dìng
是,to be,shì
為,to do,wèi
段,segment,duàn
皋,highland,gāo
堇,clay,jǐn
畢,to complete,bì
貴,expensive,guì
萬,ten thousand,wàn
殿,palace hall,diàn
厭,to be tired of,yàn
麗,beautiful,lì
几,table,jǐ
𠂉,person,rén
勺,spoon,sháo
巳,snake (zodiac),sì
夭,gentle,yāo
斗,dipper,dòu
厷,upper-arm,gōng
古,ancient,gǔ
戊,fifth,wù
未,not yet,wèi
㐌,it,yí
夸,to boast,kuā
并,and,bìng
肉,meat,ròu
全,all,quán
身,body,shēn
狂,mad,kuáng
果,fruit,guǒ
戔,narrow,jiān
府,seat of government,fǔ
昆,elder brother,kūn
相,each-other,xiāng
差,to differ from,chà
泉,small stream (spring),quán
倠,ugly/to separate,suī
婁,to wear,lóu
番,foreigner,fān
惠,to favour,huì
蒙,dazed,méng
廣,to be wide,guǎng
羅,bird-catching net,luó
卜,to divine,bo
冂,down box,jiōng
干,dry,gàn
千,thousand,qiān
夫,husband,fu
反,contrary,fǎn
卞,hurried,biàn
台,you,tái
立,to stand up,lì
